"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18552,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18554,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18554,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18557,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18557,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18559,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18559,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18561,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18561,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18563,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18563,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18567,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18567,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18575,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18575,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18577,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18577,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
