"FID","GroupName","SubGroupName","FocalColor","FocalColorCode","AttackedColor","FocalAttackedYN","FocalPalatability","FocalPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo"
18651,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18652,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18652,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18653,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18653,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18654,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18654,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18655,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18655,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18656,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18656,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18657,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18657,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18658,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18658,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18659,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18659,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18660,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18660,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18661,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18661,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18662,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18662,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18663,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18663,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18664,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
18664,"Water","BrownDB","Green",1,"Green",1,1,"Control",0,"Naive","ControlNaive"
18665,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18665,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18666,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18666,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18667,"DB","BrownDB","Brown",2,"Brown",1,0,"DB",1,"Trained","DBTrained"
18667,"DB","BrownDB","Green",1,"Brown",0,1,"Control",1,"Trained","ControlTrained"
18668,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18668,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18669,"DB","GreenDB","Brown",2,"Brown",1,1,"Control",1,"Trained","ControlTrained"
18669,"DB","GreenDB","Green",1,"Brown",0,0,"DB",1,"Trained","DBTrained"
18670,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18670,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18671,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18671,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18672,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18672,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18673,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18673,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18674,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18674,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18675,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18675,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18676,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18676,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18677,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18677,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18678,"DB","GreenDB","Brown",2,"Green",0,1,"Control",1,"Trained","ControlTrained"
18678,"DB","GreenDB","Green",1,"Green",1,0,"DB",1,"Trained","DBTrained"
18679,"Water","GreenDB","Brown",2,"Green",0,1,"Control",0,"Naive","ControlNaive"
18679,"Water","GreenDB","Green",1,"Green",1,0,"DB",0,"Naive","DBNaive"
18680,"Water","GreenDB","Brown",2,"Brown",1,1,"Control",0,"Naive","ControlNaive"
18680,"Water","GreenDB","Green",1,"Brown",0,0,"DB",0,"Naive","DBNaive"
18681,"DB","BrownDB","Brown",2,"Green",0,0,"DB",1,"Trained","DBTrained"
18681,"DB","BrownDB","Green",1,"Green",1,1,"Control",1,"Trained","ControlTrained"
18682,"Water","BrownDB","Brown",2,"Brown",1,0,"DB",0,"Naive","DBNaive"
18682,"Water","BrownDB","Green",1,"Brown",0,1,"Control",0,"Naive","ControlNaive"
18683,"Water","BrownDB","Brown",2,"Green",0,0,"DB",0,"Naive","DBNaive"
