"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","AttackedTermitePalatability"
18642,"GreenDB","Water",2018-10-31 00:04:24,"Brown","Dropped",2018-10-31 00:02:47,0,NA,97,1
18643,"BrownDB","DB",2018-10-31 00:47:23,"Brown","Consumed",2018-10-31 00:03:29,0,NA,2634,1
18644,"BrownDB","Water",2018-10-31 00:02:23,"Brown","Consumed",2018-10-31 00:02:13,0,NA,10,0
18645,"GreenDB","DB",2018-10-31 00:02:30,"Brown","Dropped",2018-10-31 00:02:22,0,NA,8,1
18646,"GreenDB","Water",2018-10-31 00:03:00,"Brown","Consumed",2018-10-31 00:02:29,0,NA,31,1
18647,"BrownDB","DB",2018-10-31 00:03:29,"Green","Consumed",2018-10-31 00:02:32,0,NA,57,1
18648,"BrownDB","Water",2018-10-31 00:03:24,"Brown","Consumed",2018-10-31 00:02:28,0,NA,56,0
18649,"GreenDB","DB",2018-10-31 00:07:08,"Green","Consumed",2018-10-31 00:02:39,0,NA,269,0
18651,"BrownDB","DB",2018-10-31 00:03:26,"Brown","Consumed",2018-10-31 00:03:07,0,NA,19,1
18652,"BrownDB","Water",2018-10-31 00:03:15,"Brown","Consumed",2018-10-31 00:03:05,0,NA,10,1
18653,"GreenDB","DB",2018-10-31 00:03:56,"Green","Consumed",2018-10-31 00:03:14,0,NA,42,0
18654,"GreenDB","Water",2018-10-31 00:04:19,"Brown","Dropped",2018-10-31 00:03:09,0,NA,70,1
18655,"BrownDB","DB",2018-10-31 00:03:19,"Green","Consumed",2018-10-31 00:03:03,0,NA,16,1
18656,"BrownDB","Water",2018-10-31 01:06:40,"Brown","Dropped",2018-10-31 00:03:09,0,NA,3811,0
18657,"GreenDB","DB",2018-10-31 00:10:07,"Green","Consumed",2018-10-31 00:03:18,0,NA,409,0
18658,"GreenDB","Water",2018-10-31 00:04:52,"Brown","Dropped",2018-10-31 00:03:00,0,NA,112,1
18659,"BrownDB","DB",2018-10-31 00:03:36,"Green","Dropped",2018-10-31 00:03:02,0,NA,34,1
18660,"BrownDB","Water",2018-10-31 00:05:07,"Brown","Consumed",2018-10-31 00:02:59,0,NA,128,0
18661,"GreenDB","DB",2018-10-31 00:42:10,"Green","Consumed",2018-10-31 00:02:51,0,NA,2359,0
18662,"GreenDB","Water",2018-10-31 00:03:29,"Green","Dropped",2018-10-31 00:03:01,0,NA,28,0
18663,"BrownDB","DB",2018-10-31 00:02:25,"Green","Consumed",2018-10-31 00:02:19,0,NA,6,1
18664,"BrownDB","Water",2018-10-31 00:03:00,"Brown","Consumed",2018-10-31 00:02:33,0,NA,27,0
18665,"GreenDB","DB",2018-10-31 00:12:58,"Brown","Dropped",2018-10-31 00:02:35,0,NA,623,1
18666,"GreenDB","Water",2018-10-31 00:02:44,"Brown","Dropped",2018-10-31 00:02:31,0,NA,13,1
18667,"BrownDB","DB",2018-10-31 00:02:29,"Green","Dropped",2018-10-31 00:02:24,0,NA,5,1
18668,"BrownDB","Water",2018-10-31 00:02:20,"Green","Dropped",2018-10-31 00:02:15,0,NA,5,1
18669,"GreenDB","DB",2018-10-31 00:05:52,"Green","Consumed",2018-10-31 00:02:21,0,NA,211,0
18670,"GreenDB","Water",2018-10-31 00:04:15,"Green","Consumed",2018-10-31 00:02:32,0,NA,103,0
18671,"BrownDB","DB",2018-10-31 00:05:41,"Brown","Consumed",2018-10-31 00:02:54,0,NA,167,1
18672,"BrownDB","Water",2018-10-31 00:02:40,"Green","Dropped",2018-10-31 00:02:16,0,NA,24,1
18673,"GreenDB","DB",2018-10-31 00:03:27,"Brown","Dropped",2018-10-31 00:02:28,0,NA,59,1
18675,"GreenDB","Water",2018-10-31 00:03:59,"Green","Consumed",2018-10-31 00:02:24,0,NA,95,0
18676,"BrownDB","DB",2018-10-31 00:02:23,"Brown","Consumed",2018-10-31 00:02:20,0,NA,3,1
18677,"BrownDB","Water",2018-10-31 00:02:20,"Green","Dropped",2018-10-31 00:02:09,0,NA,11,1
18678,"GreenDB","DB",2018-10-31 00:03:28,"Brown","Consumed",2018-10-31 00:02:42,0,NA,46,1
18680,"GreenDB","Water",2018-10-31 00:03:16,"Green","Consumed",2018-10-31 00:02:55,0,NA,21,0
18681,"BrownDB","DB",2018-10-31 00:18:38,"Brown","Consumed",2018-10-31 00:02:54,0,NA,944,0
18683,"BrownDB","Water",2018-10-31 00:02:54,"Brown","Dropped",2018-10-31 00:02:53,0,NA,1,0
18684,"GreenDB","DB",2018-10-31 00:02:59,"Brown","Dropped",2018-10-31 00:02:49,0,NA,10,1
18685,"GreenDB","Water",2018-10-31 00:02:45,"Brown","Consumed",2018-10-31 00:02:39,0,NA,6,1
18686,"BrownDB","DB",2018-10-31 00:02:06,"Green","Consumed",2018-10-31 00:02:04,0,NA,2,1
