"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","AttackedTermitePalatability"
18637,"GreenDB","DB",2018-10-31 00:03:12,"Brown","Consumed",2018-10-31 00:02:31,0,NA,41,0,1
18638,"GreenDB","Water",2018-10-31 00:03:23,"Green","Consumed",2018-10-31 00:02:27,0,NA,56,0,0
18639,"BrownDB","DB",2018-10-31 00:05:04,"Brown","Consumed",2018-10-31 00:02:26,0,NA,158,0,1
18640,"BrownDB","Water",2018-10-31 00:03:10,"Brown","Consumed",2018-10-31 00:03:04,0,NA,6,0,0
18641,"GreenDB","DB",2018-10-31 00:05:54,"Brown","Dropped",2018-10-31 00:02:56,0,NA,178,1,1
18641,"GreenDB","DB",2018-10-31 00:06:19,"Brown","Dropped",2018-10-31 00:02:56,0,NA,203,1,1
18641,"GreenDB","DB",2018-10-31 00:06:34,"Brown","Dropped",2018-10-31 00:02:56,0,NA,218,1,1
18641,"GreenDB","DB",2018-10-31 00:06:39,"Brown","Dropped",2018-10-31 00:02:56,0,NA,223,1,1
18641,"GreenDB","DB",2018-10-31 00:07:05,"Brown","Dropped",2018-10-31 00:02:56,0,NA,249,1,1
18641,"GreenDB","DB",2018-10-31 00:07:49,"Brown","Consumed",2018-10-31 00:02:56,0,NA,293,0,1
18642,"GreenDB","Water",2018-10-31 00:04:24,"Brown","Dropped",2018-10-31 00:02:47,0,NA,97,1,1
18642,"GreenDB","Water",2018-10-31 00:07:12,"Brown","Dropped",2018-10-31 00:02:47,0,NA,265,1,1
18642,"GreenDB","Water",2018-10-31 00:43:42,"Brown","Dropped",2018-10-31 00:02:47,0,NA,2455,1,1
18642,"GreenDB","Water",2018-10-31 01:18:18,"Green","Consumed",2018-10-31 00:02:47,0,NA,4531,0,0
18643,"BrownDB","DB",2018-10-31 00:47:23,"Brown","Consumed",2018-10-31 00:03:29,0,NA,2634,0,0
18644,"BrownDB","Water",2018-10-31 00:02:23,"Brown","Consumed",2018-10-31 00:02:13,0,NA,10,0,0
18645,"GreenDB","DB",2018-10-31 00:02:30,"Brown","Dropped",2018-10-31 00:02:22,0,NA,8,1,1
18645,"GreenDB","DB",2018-10-31 00:03:03,"Brown","Consumed",2018-10-31 00:02:22,0,NA,41,0,1
18646,"GreenDB","Water",2018-10-31 00:03:00,"Brown","Consumed",2018-10-31 00:02:29,0,NA,31,0,1
18647,"BrownDB","DB",2018-10-31 00:03:29,"Green","Consumed",2018-10-31 00:02:32,0,NA,57,0,1
18648,"BrownDB","Water",2018-10-31 00:03:24,"Brown","Consumed",2018-10-31 00:02:28,0,NA,56,0,1
18649,"GreenDB","DB",2018-10-31 00:07:08,"Green","Consumed",2018-10-31 00:02:39,0,NA,269,0,0
18651,"BrownDB","DB",2018-10-31 00:03:26,"Brown","Consumed",2018-10-31 00:03:07,0,NA,19,0,1
18652,"BrownDB","Water",2018-10-31 00:03:15,"Brown","Consumed",2018-10-31 00:03:05,0,NA,10,0,0
18653,"GreenDB","DB",2018-10-31 00:03:56,"Green","Consumed",2018-10-31 00:03:14,0,NA,42,0,0
18654,"GreenDB","Water",2018-10-31 00:04:19,"Brown","Dropped",2018-10-31 00:03:09,0,NA,70,1,1
18654,"GreenDB","Water",2018-10-31 00:04:55,"Brown","Dropped",2018-10-31 00:03:09,0,NA,106,1,1
18654,"GreenDB","Water",2018-10-31 00:05:19,"Brown","Dropped",2018-10-31 00:03:09,0,NA,130,1,1
18654,"GreenDB","Water",2018-10-31 00:06:06,"Green","Consumed",2018-10-31 00:03:09,0,NA,177,0,0
18655,"BrownDB","DB",2018-10-31 00:03:19,"Green","Consumed",2018-10-31 00:03:03,0,NA,16,0,1
18655,"BrownDB","DB",2018-10-31 00:04:16,"Green","Consumed",2018-10-31 00:03:03,0,NA,73,0,1
18656,"BrownDB","Water",2018-10-31 01:06:40,"Brown","Dropped",2018-10-31 00:03:09,0,NA,3811,1,0
18657,"GreenDB","DB",2018-10-31 00:10:07,"Green","Consumed",2018-10-31 00:03:18,0,NA,409,0,0
18658,"GreenDB","Water",2018-10-31 00:04:52,"Brown","Dropped",2018-10-31 00:03:00,0,NA,112,1,1
18658,"GreenDB","Water",2018-10-31 00:05:15,"Green","Consumed",2018-10-31 00:03:00,0,NA,135,0,0
18659,"BrownDB","DB",2018-10-31 00:03:36,"Green","Dropped",2018-10-31 00:03:02,0,NA,34,1,1
18659,"BrownDB","DB",2018-10-31 00:04:19,"Green","Consumed",2018-10-31 00:03:02,0,NA,77,0,1
18660,"BrownDB","Water",2018-10-31 00:05:07,"Brown","Consumed",2018-10-31 00:02:59,0,NA,128,0,0
18661,"GreenDB","DB",2018-10-31 00:42:10,"Green","Consumed",2018-10-31 00:02:51,0,NA,2359,0,0
18662,"GreenDB","Water",2018-10-31 00:03:29,"Green","Dropped",2018-10-31 00:03:01,0,NA,28,1,0
18662,"GreenDB","Water",2018-10-31 00:03:50,"Brown","Dropped",2018-10-31 00:03:01,0,NA,49,1,1
18662,"GreenDB","Water",2018-10-31 00:05:15,"Green","Consumed",2018-10-31 00:03:01,0,NA,134,0,0
18663,"BrownDB","DB",2018-10-31 00:02:25,"Green","Consumed",2018-10-31 00:02:19,0,NA,6,0,1
18664,"BrownDB","Water",2018-10-31 00:03:00,"Brown","Consumed",2018-10-31 00:02:33,0,NA,27,0,1
18665,"GreenDB","DB",2018-10-31 00:12:58,"Brown","Dropped",2018-10-31 00:02:35,0,NA,623,1,1
18665,"GreenDB","DB",2018-10-31 01:18:56,"Brown","Dropped",2018-10-31 00:02:35,0,NA,4581,1,1
18666,"GreenDB","Water",2018-10-31 00:02:44,"Brown","Dropped",2018-10-31 00:02:31,0,NA,13,1,1
18666,"GreenDB","Water",2018-10-31 00:03:16,"Green","Consumed",2018-10-31 00:02:31,0,NA,45,0,0
18667,"BrownDB","DB",2018-10-31 00:02:29,"Green","Dropped",2018-10-31 00:02:24,0,NA,5,1,1
18667,"BrownDB","DB",2018-10-31 00:02:55,"Brown","Consumed",2018-10-31 00:02:24,0,NA,31,0,0
18668,"BrownDB","Water",2018-10-31 00:02:20,"Green","Dropped",2018-10-31 00:02:15,0,NA,5,1,1
18668,"BrownDB","Water",2018-10-31 00:03:49,"Brown","Consumed",2018-10-31 00:02:15,0,NA,94,0,0
18669,"GreenDB","DB",2018-10-31 00:05:52,"Green","Consumed",2018-10-31 00:02:21,0,NA,211,0,0
18670,"GreenDB","Water",2018-10-31 00:04:15,"Green","Consumed",2018-10-31 00:02:32,0,NA,103,0,0
