Wavelength	Paint	Reflectance	LowCI	UpperCI
509	Brown	9.938333333	9.716831992	10.15983467
510	Brown	10.065	9.842843716	10.28715628
511	Brown	10.21333333	9.99032421	10.43634246
512	Brown	10.36566667	10.14198366	10.58934968
513	Brown	10.4855	10.26063174	10.71036826
514	Brown	10.62866667	10.40288512	10.85444821
515	Brown	10.80233333	10.57535564	11.02931103
516	Brown	10.84433333	10.61567977	11.0729869
517	Brown	10.77833333	10.55017729	11.00648938
518	Brown	10.82466667	10.59441935	11.05491398
519	Brown	10.97933333	10.74782842	11.21083825
520	Brown	11.05308889	10.82275154	11.28342624
521	Brown	11.2454	11.01468224	11.47611776
522	Brown	11.43771111	11.20661212	11.6688101
523	Brown	11.63002222	11.39854116	11.86150328
524	Brown	11.82233333	11.59046938	12.05419728
525	Brown	12.01464444	11.78239678	12.24689211
526	Brown	12.20695556	11.97432336	12.43958775
527	Brown	12.39926667	12.16624913	12.6322842
528	Brown	12.59157778	12.35817409	12.82498146
529	Brown	12.78388889	12.55009825	13.01767953
530	Brown	12.9762	12.7420216	13.2103784
531	Brown	13.16851111	12.93394416	13.40307806
532	Brown	13.36082222	13.12586593	13.59577852
533	Brown	13.55313333	13.3177869	13.78847977
534	Brown	13.74544444	13.50970709	13.9811818
535	Brown	13.93775556	13.7016265	14.17388461
536	Brown	14.13006667	13.89354513	14.3665882
537	Brown	14.32237778	14.08546299	14.55929256
538	Brown	14.51468889	14.27738008	14.7519977
539	Brown	14.707	14.4692964	14.9447036
540	Brown	14.51833333	14.28279934	14.75386732
541	Brown	14.74033333	14.50101253	14.97965413
542	Brown	14.86233333	14.62401302	15.10065364
543	Brown	15.22866667	14.98824671	15.46908663
544	Brown	15.22833333	14.9972731	15.45939357
545	Brown	15.307	15.07568986	15.53831014
546	Brown	15.45	15.21827312	15.68172688
547	Brown	15.71266667	15.48150618	15.94382715
548	Brown	16.03466667	15.80307409	16.26625925
549	Brown	16.47933333	16.24613356	16.7125331
550	Brown	16.79733333	16.56310202	17.03156465
551	Brown	16.84433333	16.60858412	17.08008255
552	Brown	16.967	16.72975449	17.20424551
553	Brown	17.18766667	16.95206167	17.42327166
554	Brown	17.403	17.16817203	17.63782797
555	Brown	17.71633333	17.48159458	17.95107209
556	Brown	18.03133333	17.79659475	18.26607192
557	Brown	18.255	18.01945259	18.49054741
558	Brown	18.487	18.25184339	18.72215661
559	Brown	18.702	18.46779272	18.93620728
560	Brown	18.88866667	18.6550785	19.12225483
561	Brown	19.12333333	18.88905127	19.3576154
562	Brown	19.37466667	19.13991663	19.6094167
563	Brown	19.64033333	19.40552388	19.87514279
564	Brown	19.788	19.55454994	20.02145006
565	Brown	19.83966667	19.60543559	20.07389774
566	Brown	20.033	19.79976522	20.26623478
567	Brown	20.316	20.08357094	20.54842906
568	Brown	20.67733333	20.44544359	20.90922307
569	Brown	21.07533333	20.84495148	21.30571519
570	Brown	21.19366667	20.96349266	21.42384068
571	Brown	21.30033333	21.06885871	21.53180796
572	Brown	21.57033333	21.33986829	21.80079838
573	Brown	21.80666667	21.5755334	22.03779993
574	Brown	22.155	21.9213509	22.3886491
575	Brown	22.504	22.27015101	22.73784899
576	Brown	22.7215	22.48610945	22.95689055
577	Brown	23.04433333	22.80726608	23.28140059
578	Brown	23.47766667	23.24053273	23.7148006
579	Brown	23.814	23.5745766	24.0534234
580	Brown	24.11366667	23.87251054	24.35482279
581	Brown	24.37133333	24.12964042	24.61302625
582	Brown	24.60033333	24.35856897	24.8420977
583	Brown	24.82266667	24.58207409	25.06325924
584	Brown	25.03433333	24.79292849	25.27573817
585	Brown	25.21233333	24.97132436	25.4533423
586	Brown	25.35933333	25.11888405	25.59978262
587	Brown	25.44033333	25.20051102	25.68015565
588	Brown	25.47133333	25.23362	25.70904666
589	Brown	25.52066667	25.28257947	25.75875386
590	Brown	25.617	25.37794903	25.85605097
591	Brown	25.768	25.5294144	26.0065856
592	Brown	25.93833333	25.69943184	26.17723483
593	Brown	26.014	25.77427437	26.25372563
594	Brown	26.05133333	25.81126938	26.29139729
595	Brown	25.87933333	25.63901163	26.11965503
596	Brown	25.63933333	25.39518978	25.88347689
597	Brown	25.738	25.49223883	25.98376117
598	Brown	25.90166667	25.65472341	26.14860993
599	Brown	26.28866667	26.04128019	26.53605315
600	Brown	26.64	26.39664434	26.88335566
601	Brown	26.534	26.29292167	26.77507833
602	Brown	26.17433333	25.93252935	26.41613732
603	Brown	25.77866667	25.53378578	26.02354755
604	Brown	25.645	25.3943661	25.8956339
605	Brown	25.851	25.59860063	26.10339937
606	Brown	26.17733333	25.92574969	26.42891697
607	Brown	26.43	26.18149084	26.67850916
608	Brown	26.12	25.87223626	26.36776374
609	Brown	25.927	25.67774927	26.17625073
610	Brown	25.92133333	25.67221599	26.17045068
611	Brown	26.12866667	25.87918216	26.37815118
612	Brown	26.59433333	26.3478272	26.84083947
613	Brown	26.819	26.57655092	27.06144908
614	Brown	26.813	26.57195797	27.05404203
615	Brown	26.76366667	26.52426661	27.00306672
616	Brown	26.69733333	26.45657457	26.93809209
617	Brown	26.61866667	26.37689331	26.86044002
618	Brown	26.565	26.32106734	26.80893266
619	Brown	26.54433333	26.29930088	26.78936579
620	Brown	26.564	26.31931054	26.80868946
621	Brown	26.60266667	26.35923189	26.84610144
622	Brown	26.619	26.37894931	26.85905069
623	Brown	26.59466667	26.35563686	26.83369647
624	Brown	26.501	26.26281306	26.73918694
625	Brown	26.21133333	25.97064327	26.4520234
626	Brown	25.92533333	25.68060808	26.17005859
627	Brown	25.85533333	25.60925459	26.10141207
628	Brown	25.90633333	25.65825557	26.15441109
629	Brown	26.12533333	25.87688449	26.37378218
630	Brown	26.30033333	26.05263121	26.54803546
631	Brown	26.31666667	26.06955909	26.56377424
632	Brown	26.239	25.99239256	26.48560744
633	Brown	26.08533333	25.83808428	26.33258238
634	Brown	26.00033333	25.75151491	26.24915176
635	Brown	25.96333333	25.71278728	26.21387939
636	Brown	26.05133333	25.79870661	26.30396006
637	Brown	26.17233333	25.91810289	26.42656378
638	Brown	26.21833333	25.96340974	26.47325693
639	Brown	26.25633333	25.99941742	26.51324925
640	Brown	26.28	26.02292443	26.53707557
641	Brown	26.27966667	26.02100848	26.53832485
642	Brown	26.28833333	26.03058143	26.54608524
643	Brown	26.283	26.02740121	26.53859879
644	Brown	26.269	26.01608004	26.52191996
645	Brown	26.235	25.9857329	26.4842671
646	Brown	26.21333333	25.96702034	26.45964632
647	Brown	26.19266667	25.94838393	26.4369494
648	Brown	26.182	25.93882617	26.42517383
649	Brown	26.14566667	25.90155727	26.38977606
650	Brown	26.07166667	25.82666376	26.31666957
651	Brown	26.00266667	25.75750988	26.24782345
652	Brown	25.97266667	25.72702028	26.21831305
653	Brown	26.02066667	25.77590808	26.26542525
654	Brown	26.07266667	25.82652973	26.3188036
655	Brown	26.10966667	25.86245519	26.35687815
656	Brown	26.06566667	25.81820169	26.31313164
657	Brown	25.833	25.58633205	26.07966795
658	Brown	25.444	25.19584874	25.69215126
659	Brown	25.33166667	25.08305495	25.58027839
660	Brown	25.38366667	25.13514704	25.63218629
661	Brown	25.67366667	25.42499569	25.92233764
662	Brown	26.03066667	25.78464151	26.27669182
663	Brown	26.14633333	25.90200553	26.39066114
664	Brown	26.177	25.93432906	26.41967094
665	Brown	26.16433333	25.92440781	26.40425886
666	Brown	26.16133333	25.92425997	26.39840669
667	Brown	26.12166667	25.88538213	26.35795121
668	Brown	26.033	25.79641243	26.26958757
669	Brown	26.02533333	25.78566746	26.2649992
670	Brown	26.05633333	25.81411559	26.29855108
671	Brown	26.157	25.91446135	26.39953865
672	Brown	26.26866667	26.02621684	26.51111649
673	Brown	26.30866667	26.0685902	26.54874313
674	Brown	26.31266667	26.07293445	26.55239889
675	Brown	26.325	26.08472932	26.56527068
676	Brown	26.322	26.08053809	26.56346191
677	Brown	26.253	26.01033102	26.49566898
678	Brown	26.044	25.80124058	26.28675942
679	Brown	25.72933333	25.48621568	25.97245099
680	Brown	25.69566667	25.4540589	25.93727443
681	Brown	25.796	25.55852448	26.03347552
682	Brown	26.09633333	25.86288175	26.32978491
683	Brown	26.374	26.14702108	26.60097892
684	Brown	26.49166667	26.26697301	26.71636032
685	Brown	26.512	26.28658285	26.73741715
686	Brown	26.452	26.22519081	26.67880919
687	Brown	26.41166667	26.18343995	26.63989338
688	Brown	26.43566667	26.20538856	26.66594478
689	Brown	26.46333333	26.23321184	26.69345483
690	Brown	26.527	26.29581924	26.75818076
691	Brown	26.562	26.33155502	26.79244498
692	Brown	26.581	26.35138052	26.81061948
693	Brown	26.63033333	26.39990191	26.86076476
694	Brown	26.64533333	26.41245077	26.87821589
695	Brown	26.62433333	26.38813525	26.86053141
696	Brown	26.4155	26.17339511	26.65760489
697	Brown	25.73266667	25.48618442	25.97914891
698	Brown	25.408	25.15336186	25.66263814
699	Brown	25.46433333	25.20821083	25.72045583
700	Brown	25.785	25.52840069	26.04159931
280	Green	5.327	5.208560853	5.445439147
281	Green	5.3175	5.198274125	5.436725875
282	Green	5.320666667	5.198274006	5.443059328
283	Green	5.266666667	5.144179492	5.389153841
284	Green	5.191	5.072397654	5.309602346
285	Green	5.22	5.10190767	5.33809233
286	Green	5.269333333	5.153465731	5.385200935
287	Green	5.323666667	5.20594648	5.441386854
288	Green	5.41	5.291142403	5.528857597
289	Green	5.435	5.316373064	5.553626936
290	Green	5.469333333	5.348906882	5.589759784
291	Green	5.5655	5.444950262	5.686049738
292	Green	5.653333333	5.528211834	5.778454832
293	Green	5.724	5.593780786	5.854219214
294	Green	5.697	5.571350903	5.822649097
295	Green	5.569333333	5.446842545	5.691824122
296	Green	5.489666667	5.370677531	5.608655802
297	Green	5.547	5.430502526	5.663497474
298	Green	5.600666667	5.480780973	5.720552361
299	Green	5.718666667	5.595932964	5.841400369
300	Green	5.852	5.725058157	5.978941843
301	Green	5.866	5.736364832	5.995635168
302	Green	5.830666667	5.703104151	5.958229183
303	Green	5.853333333	5.72687087	5.979795797
304	Green	5.8945	5.766895091	6.022104909
305	Green	5.932333333	5.805003712	6.059662955
306	Green	6.011666667	5.882950051	6.140383282
307	Green	6.026	5.896087387	6.155912613
308	Green	5.958333333	5.831452466	6.0852142
309	Green	5.869666667	5.743640678	5.995692655
310	Green	5.784	5.659666816	5.908333184
311	Green	5.82	5.694869657	5.945130343
312	Green	5.924333333	5.795159654	6.053507013
313	Green	6.025	5.892803029	6.157196971
314	Green	6.148	6.013599525	6.282400475
315	Green	6.169333333	6.033861318	6.304805349
316	Green	6.140333333	6.007563347	6.27310332
317	Green	6.152	6.023023329	6.280976671
318	Green	6.167	6.038083097	6.295916903
319	Green	6.172333333	6.04079838	6.303868287
320	Green	6.1695	6.036597241	6.302402759
321	Green	6.155666667	6.020447827	6.290885507
322	Green	6.143666667	6.007919935	6.279413398
323	Green	6.112333333	5.979325894	6.245340773
324	Green	6.103	5.972139655	6.233860345
325	Green	6.082666667	5.954152188	6.211181145
326	Green	6.073	5.944509327	6.201490673
327	Green	6.0895	5.959758215	6.219241785
328	Green	6.121666667	5.991976084	6.251357249
329	Green	6.151	6.019438608	6.282561392
330	Green	6.145333333	6.014388449	6.276278217
331	Green	6.124	5.994699408	6.253300592
332	Green	6.073	5.944473651	6.201526349
333	Green	6.035666667	5.910218286	6.161115047
334	Green	6.018	5.893989371	6.142010629
335	Green	6.027333333	5.904025717	6.15064095
336	Green	6.037666667	5.917488254	6.157845079
337	Green	6.049666667	5.930062643	6.16927069
338	Green	6.066	5.9463377	6.1856623
339	Green	6.052	5.933051062	6.170948938
340	Green	6.040666667	5.921588082	6.159745251
341	Green	6.051	5.930281159	6.171718841
342	Green	6.054333333	5.933690145	6.174976522
343	Green	6.066333333	5.944951507	6.18771516
344	Green	6.083333333	5.96071587	6.205950796
345	Green	6.0945	5.973455563	6.215544437
346	Green	6.132333333	6.010817952	6.253848715
347	Green	6.183	6.061997772	6.304002228
348	Green	6.224	6.102352315	6.345647685
349	Green	6.268	6.145202876	6.390797124
350	Green	6.301666667	6.177152805	6.426180528
351	Green	6.351666667	6.226835793	6.47649754
352	Green	6.4155	6.290739418	6.540260582
353	Green	6.458	6.334807312	6.581192688
354	Green	6.483	6.359842928	6.606157072
355	Green	6.511666667	6.387924613	6.635408721
356	Green	6.5455	6.422167434	6.668832566
357	Green	6.588333333	6.464889315	6.711777352
358	Green	6.643	6.521032195	6.764967805
359	Green	6.681	6.559593951	6.802406049
360	Green	6.724	6.602687417	6.845312583
361	Green	6.781333333	6.660096488	6.902570179
362	Green	6.856666667	6.736637059	6.976696274
363	Green	6.9405	6.821560282	7.059439718
364	Green	7.024	6.906530739	7.141469261
365	Green	7.097666667	6.982327956	7.213005377
366	Green	7.201666667	7.086094905	7.317238429
367	Green	7.308	7.190814508	7.425185492
368	Green	7.393333333	7.276140017	7.510526649
369	Green	7.493333333	7.375652703	7.611013964
370	Green	7.563333333	7.446907397	7.67975927
371	Green	7.6425	7.52870538	7.75629462
372	Green	7.744333333	7.629908363	7.858758304
373	Green	7.878666667	7.763545892	7.993787441
374	Green	8.019333333	7.903721157	8.13494551
375	Green	8.1025	7.985444951	8.219555049
376	Green	8.172333333	8.054813952	8.289852714
377	Green	8.284333333	8.16690681	8.401759857
378	Green	8.402	8.285232113	8.518767887
379	Green	8.488	8.371900136	8.604099864
380	Green	8.604333333	8.487862528	8.720804138
381	Green	8.724333333	8.606425822	8.842240845
382	Green	8.857333333	8.738141955	8.976524711
383	Green	8.968	8.848699711	9.087300289
384	Green	9.070333333	8.951115895	9.189550771
385	Green	9.204333333	9.086507639	9.322159028
386	Green	9.352333333	9.235519626	9.469147041
387	Green	9.506	9.389195766	9.622804234
388	Green	9.638333333	9.522036126	9.754630541
389	Green	9.759333333	9.643990854	9.874675813
390	Green	9.883666667	9.768502986	9.998830348
391	Green	9.9925	9.876937386	10.10806261
392	Green	10.08733333	9.970856081	10.20381059
393	Green	10.222	10.10435941	10.33964059
394	Green	10.36366667	10.24464432	10.48268901
395	Green	10.463	10.34263704	10.58336296
396	Green	10.567	10.44645461	10.68754539
397	Green	10.67033333	10.54901665	10.79165002
398	Green	10.73466667	10.61555702	10.85377631
399	Green	10.797	10.6797963	10.9142037
400	Green	10.85833333	10.74216806	10.97449861
401	Green	10.907	10.79223097	11.02176903
402	Green	10.88733333	10.77355992	11.00110675
403	Green	10.864	10.75001003	10.97798997
404	Green	10.84266667	10.72934435	10.95598898
405	Green	10.88366667	10.77023747	10.99709586
406	Green	11.00933333	10.89370885	11.12495782
407	Green	11.103	10.98550564	11.22049436
408	Green	11.13	11.01180564	11.24819436
409	Green	11.13	11.00992825	11.25007175
410	Green	11.138	11.01640769	11.25959231
411	Green	11.17166667	11.04962397	11.29370937
412	Green	11.2405	11.11661492	11.36438508
413	Green	11.273	11.14836152	11.39763848
414	Green	11.195	11.07235128	11.31764872
415	Green	11.077	10.95581109	11.19818891
416	Green	10.8955	10.77551517	11.01548483
417	Green	10.74333333	10.62512459	10.86154207
418	Green	10.66266667	10.54436729	10.78096605
419	Green	10.539	10.42112065	10.65687935
420	Green	10.561	10.44348196	10.67851804
421	Green	10.6325	10.5139383	10.7510617
422	Green	10.595	10.47591816	10.71408184
423	Green	10.64566667	10.52564226	10.76569107
424	Green	10.77933333	10.65768565	10.90098102
425	Green	10.871	10.74886336	10.99313664
426	Green	11.10066667	10.97746166	11.22387167
427	Green	11.41233333	11.28827637	11.53639029
428	Green	11.506	11.38147148	11.63052852
429	Green	11.516	11.39212317	11.63987683
430	Green	11.4795	11.35503628	11.60396372
431	Green	11.36533333	11.2402179	11.49044877
432	Green	11.31066667	11.18416071	11.43717263
433	Green	11.392	11.26283715	11.52116285
434	Green	11.53466667	11.40371816	11.66561517
435	Green	11.727	11.594122	11.859878
436	Green	11.87933333	11.74638682	12.01227984
437	Green	11.838	11.7051934	11.9708066
438	Green	11.71633333	11.58439708	11.84826959
439	Green	11.697	11.56500565	11.82899435
