"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18614,"BrownDB"," NA",2019-03-22 00:03:10,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,66,1,"Control",NA,NA,"NA",1,NA
18615,"BrownDB"," NA",2019-03-22 01:00:42,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,3518,0,"DB",NA,NA,"NA",1,NA
18615,"BrownDB"," NA",2019-03-22 01:20:30,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,4706,1,"Control",NA,NA,"NA",2,0
18616,"GreenDB"," NA",2019-03-22 00:35:23,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,1965,0,"DB",NA,NA,"NA",1,NA
18616,"GreenDB"," NA",2019-03-22 00:58:23,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,3345,0,"DB",NA,NA,"NA",2,0
18618,"GreenDB"," NA",2019-03-22 00:02:28,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,21,0,"DB",NA,NA,"NA",1,NA
18618,"GreenDB"," NA",2019-03-22 00:03:04,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,57,1,"Control",NA,NA,"NA",2,0
18618,"GreenDB"," NA",2019-03-22 00:03:15,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,68,0,"DB",NA,NA,"NA",3,1
18618,"GreenDB"," NA",2019-03-22 00:05:35,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,208,0,"DB",NA,NA,"NA",4,0
18618,"GreenDB"," NA",2019-03-22 00:05:38,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,211,0,"DB",NA,NA,"NA",5,0
18618,"GreenDB"," NA",2019-03-22 00:05:39,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,212,0,"DB",NA,NA,"NA",6,0
18618,"GreenDB"," NA",2019-03-22 00:05:55,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,228,0,"DB",NA,NA,"NA",7,0
18618,"GreenDB"," NA",2019-03-22 00:05:59,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,232,1,"Control",NA,NA,"NA",8,0
18618,"GreenDB"," NA",2019-03-22 00:16:05,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,838,1,"Control",NA,NA,"NA",9,1
18618,"GreenDB"," NA",2019-03-22 00:22:38,2,1,2019-03-22 00:02:07,0,NA,"Brown","Consumed",0,1231,1,"Control",NA,NA,"NA",10,1
18619,"GreenDB"," NA",2019-03-22 00:10:47,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,457,0,"DB",NA,NA,"NA",1,NA
18619,"GreenDB"," NA",2019-03-22 01:13:18,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,4208,0,"DB",NA,NA,"NA",2,0
18619,"GreenDB"," NA",2019-03-22 01:13:20,2,-1,2019-03-22 00:03:10,0,NA,"Brown","Rejected",1,4210,1,"Control",NA,NA,"NA",3,0
18619,"GreenDB"," NA",2019-03-22 01:13:24,2,-1,2019-03-22 00:03:10,0,NA,"Brown","Rejected",1,4214,1,"Control",NA,NA,"NA",4,1
18619,"GreenDB"," NA",2019-03-22 02:00:28,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,7038,0,"DB",NA,NA,"NA",5,1
18621,"GreenDB"," NA",2019-03-22 00:03:52,2,1,2019-03-22 00:02:43,0,NA,"Brown","Consumed",0,69,1,"Control",NA,NA,"NA",1,NA
18622,"BrownDB"," NA",2019-03-22 00:06:29,1,1,2019-03-22 00:02:24,0,NA,"Green","Consumed",0,245,1,"Control",NA,NA,"NA",1,NA
