"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18563,"GreenDB","DB",2019-03-22 00:07:47,2,1,2019-03-22 00:04:42,0,NA,"Brown","Consumed",0,185,1,"Control","1","Trained","Trained",3,0
18567,"BrownDB","DB",2019-03-22 00:05:00,2,-1,2019-03-22 00:04:37,0,NA,"Brown","Rejected",1,23,0,"DB","1","Trained","Trained",1,NA
18567,"BrownDB","DB",2019-03-22 00:07:30,2,1,2019-03-22 00:04:37,0,NA,"Brown","Consumed",0,173,0,"DB","1","Trained","Trained",2,0
18575,"GreenDB","Water",2019-03-22 00:05:35,2,-1,2019-03-22 00:04:36,0,NA,"Brown","Rejected",1,59,1,"Control","0","Naive","Naive",1,NA
18575,"GreenDB","Water",2019-03-22 00:06:49,1,-1,2019-03-22 00:04:36,0,NA,"Green","Rejected",1,133,0,"DB","0","Naive","Naive",2,1
18575,"GreenDB","Water",2019-03-22 00:14:03,2,-1,2019-03-22 00:04:36,0,NA,"Brown","Rejected",1,567,1,"Control","0","Naive","Naive",3,0
18575,"GreenDB","Water",2019-03-22 00:18:38,1,-1,2019-03-22 00:04:36,0,NA,"Green","Rejected",1,842,0,"DB","0","Naive","Naive",4,1
18575,"GreenDB","Water",2019-03-22 00:35:38,1,-1,2019-03-22 00:04:36,0,NA,"Green","Rejected",1,1862,0,"DB","0","Naive","Naive",5,0
18575,"GreenDB","Water",2019-03-22 00:49:27,1,-1,2019-03-22 00:04:36,0,NA,"Green","Rejected",1,2691,0,"DB","0","Naive","Naive",6,0
18575,"GreenDB","Water",2019-03-22 01:57:41,2,-1,2019-03-22 00:04:36,0,NA,"Brown","Rejected",1,6785,1,"Control","0","Naive","Naive",7,0
18577,"BrownDB","Water",2019-03-22 00:04:30,1,1,2019-03-22 00:04:28,0,NA,"Green","Consumed",0,2,1,"Control","0","Naive","Naive",1,NA
